IPC_number,IPC,Description
119,Public servant concealing design to commit offence which it is his duty to prevent,"Whoever, being a public servant intending to facilitate or knowing it to be likely that he will thereby
facilitate the commission of an offence which it is his duty as such public servant to prevent,
1[voluntarily conceals, by any act or illegal omission or by the use of encryption or any other
information hiding tool, the existence of a design] to commit such offence, or makes any representation
which he knows to be false respecting such design
2[imprisonment for life], with imprisonment of either description for a term which may extend to ten
years, officer, prevent, hide, bribe"
120,Concealing design to commit offence punishable with imprisonment,"Whoever, intending
to facilitate or knowing it to be likely that he will thereby facilitate the commission of an offence
punishable with imprisonment,
voluntarily conceals, by any act or illegal omission, the existence of a design to commit such offence, or
makes any representation which he knows to be false respecting such design,
if offence be committed; if offence be not committed.—shall, if the offence be committed, be
punished with imprisonment of the description provided for the offence, for a term which may extend to
one-fourth, and, if the offence be not committed, to one-eight, of the longest term of such imprisonment,
or with such fine as is provided for the offence, or with both. "
121,"Waging, or attempting to wage war, or abetting waging of war, against the Government of
India.","Whoever wages war against Indian government or attempts to wage such war, or abets
the waging of such war. war, influence, "
122,"Collecting arms, etc., with intention of waging war against the Government of India.","Whoever collects men, arms or ammunition or otherwise prepares to wage war with the intention of either
waging or being prepared to wage war against the Indian Government. arms, weapons, war, rally, mobilize"
123,Concealing with intent to facilitate design to wage war.—,"Whoever by any act, or by any illegal omission, conceals the existence of a design to wage war against the Inidna government
intending by such concealment to facilitate, or knowing it to be likely that such concealment will
facilitate, the waging of such war, shall be punished with imprisonment of either description for a term
which may extend to ten years, and shall also be liable to fine. war, conceal, hide."
124,"Assaulting President, Governor, etc., with intent to compel or restrain the exercise of any
lawful power.","Whoever, with the intention of inducing or compelling the President of India, Governor of any 
State to exercise or refrain from exercising in any manner any
any of the lawful powers of such President,assaults or wrongfully restrains, or attempts wrongfully to restrain, or overawes, by means of criminal force or the show of criminal force, or attempts so to overawe. "
125,Waging war against any Asiatic Power in alliance with the Government of India,"Whoever wages war against the Government of any Asiatic Power in alliance or at peace with the Government of India or attempts to wage such war, or abets the waging of such war. "
126,Committing depredation on territories of Power at peace with the Government of India,"Whoever commits depredation, or makes preparations to commit depredation, on the territories of any
Power in alliance or at peace with the Government of India"
127,Receiving property taken by war or depredation mentioned in sections 125 and 126.,"Whoever receives any property knowing the same to have been taken in the commission of any of the
offences which may cause war "
128,Public servant voluntarily allowing prisoner of state or war to escape,"Whoever, being a
public servant and having the custody of any State prisoner or prisoner of war, voluntarily allows such
prisoner to escape from any place in which such prisoner is confined,"
129, Public servant negligently suffering such prisoner to escape,"Whoever, being a public
servant and having the custody of any State prisoner or prisoner of war, negligently suffers such prisoner
to escape from any place of confinement in which such prisoner is confined"
130,"Aiding escape of, rescuing or harbouring such prisoner.","Whoever knowingly aids or assists any State prisoner or prisoner of war in escaping from lawful custody, or rescues or attempts to rescue
any such prisoner, or harbours or conceals any such prisoner who has escaped from lawful custody, or offers or attempts to offer any resistance to the recapture of such prisoner. "
131,"Abetting mutiny, or attempting to seduce a soldier, sailor or airman from his duty.","Whoever abets the committing of mutiny by an officer, soldier, sailor, airman, Government of India or attempts to seduce any such officer, soldier, sailor or airman from his allegiance or his duty, "
133,"Abetment of assault by soldier, sailor or airman on his superior officer, when in execution
of his office.—","Whoever abets an assault by an officer, soldier, sailor or airman, Navy or Air Force of the Government of India , on any superior officer being in the execution of his office."
134,"Abetment of such assault, if the assault committed","Whoever abets an assault by an officer,
soldier, sailor or airman,  of the Government of India, on any
superior officer being in the execution of his office. "
135,"Abetment of desertion of soldier, sailor or airman","Whoever, abets the desertion of any officer, soldier, sailor or airman of the Government of India,"
136,Harbouring deserter,"Whoever, except as hereinafter excepted, knowing or having reason to believe that an officer, soldier, sailor or airman Government of India, has deserted, harbours such officer, soldier"
137,Deserter concealed on board merchant vessel through negligence of master,"The master or person in charge of a merchant vessel, on board of which any deserter of the Government of India is concealed though ignorant of such concealment,  if he might have known of such concealment but for some neglect of his duty as such master or person in charge, or but for some want of discipline on board of the
vessel."
138,"Abetment of act of insubordination by soldier, sailor or airman","Whoever abets what he knows to be an act of insubordination by an officer, soldier, sailor or airman of the Government of India, shall, if such act of insubordination be committed in consequence of that abetment."
140,"Wearing garb or carrying token used by soldier, sailor or airman","Whoever, not being a soldier, sailor or airman wears any garb or carries any token resembling any garb or token used by such a person sailor or airman with
the intention that it may be believed that he is such a soldier, sailor or airman. imitating, fake"
144,Joining unlawful assembly armed with deadly weapon,"Whoever, being armed with any deadly weapon, or with anything which, used as a weapon of offence, is likely to cause death, is a member of an unlawful assembly. "
145,"Joining or continuing in unlawful assembly, knowing it has been commanded to disperse.","Whoever joins or continues in an unlawful assembly, knowing that such unlawful assembly
has been commanded in the manner prescribed by law to disperse."
148,"Rioting, armed with deadly weapon","Whoever is guilty of rioting, being armed with a deadly weapon or with anything which, used as a weapon of offence, is likely to cause death          equiped, loaded"
149,"Every member of unlawful assembly guilty of offence committed in prosecution of common
object","If an offence is committed by any member of an unlawful assembly in prosecution of the
common object of that assembly, or such as the members of that assembly knew to be likely to be
committed in prosecution of that object, every person who, at the time of the committing of that offence,
is a member of the same assembly, is guilty of that offence. "
150,"Hiring, or conniving at hiring, of persons to join unlawful assembly","Whoever hires or engages, or employs, or promotes, or connives at the hiring, engagement or employment of any person to
join or become a member of any unlawful assembly, shall be punishable as a member of such unlawful assembly, and for any offence which may be committed by any such person as a member of such unlawful assembly in pursuance of such hiring, engagement or employment, in the same manner as if he had been a member of such unlawful assembly, or himself had committed such offence. "
151,"Knowingly joining or continuing in assembly of five or more persons after it has been
commanded to disperse.","Whoever knowingly joins or continues in any assembly of five or more persons likely to cause a disturbance of the public peace, after such assembly has been lawfully commanded to disperse. "
152,"Assaulting or obstructing public servant when suppressing riot, etc.—","Whoever assaults or threatens to assault, or obstructs or attempts to obstruct, any public servant in the discharge of his duty as such public servant, in endeavouring to disperse an unlawful assembly, or to suppress a riot or affray, or uses, or threatens, or attempts to use criminal force to such public servant. abuse, assault, resistance, riot, officer, police"
153,"Wantonly giving provocation with intent to cause riot—if rioting be committed; if not
committed.—","Whoever malignantly by doing anything which is illegal, gives provocation to any person intending or knowing it to be likely that such provocation will cause the offence of rioting to be committed. rioting, influence"
154,Owner or occupier of land on which an unlawful assembly is held.—,"Whenever any unlawful assembly or riot takes place, the owner or occupier of the land upon which such unlawful assembly is held, or such riot is committed, and any person having or claiming an interest in such land. riot, property"
155,Liability of person for whose benefit riot is committed.,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom. "
156,Liability of agent of owner or occupier for whose benefit riot is committed.—,"Whenever a riot is committed for the benefit or on behalf of any person who is the owner or occupier of any land respecting which such riot takes place, or who claims any interest in such land, or in the subject of any dispute which gave rise to the riot, or who has accepted or derived any benefit therefrom, the agent or manager of such person. "
157,Harbouring persons hired for an unlawful assembly.—,"Whoever harbours, receives or assembles, in any house or premises in his occupation or charge, or under his control any persons knowing that such persons have been hired, engaged or employed, or are about to be hired, engaged or employed, to join or become members of an unlawful assembly. "
158,Being hired to take part in an unlawful assembly or riot.,"Whoever is engaged, or hired, or
offers or attempts to be hired or engaged, to do or assist in doing any of the acts specified in section 141,
shall be punished with imprisonment of either description for a term which may extend to six months, or
with fine, or with both,
or to go armed.—and whoever, being so engaged or hired as aforesaid, goes armed, or engages or
offers to go armed, with any deadly weapon or with anything which used as a weapon of offence is likely
to cause death, shall be punished with imprisonment of either description for a term which may extend to
two years, or with fine, or with both."
159,Affray,"When two or more persons, by fighting in a public place, disturb the public peace, they
are said to “commit an affray”."
166,"Public servant disobeying law, with intent to cause injury to any person","—Whoever, being a
public servant, knowingly disobeys any direction of the law as to the way in which he is to conduct
himself as such public servant, intending to cause, or knowing it to be likely that he will by such
disobedience, cause injury to any person
"
167, Public servant framing an incorrect document with intent to cause injury,"Whoever, being
a public servant, and being, as 
[such public servant, charged with the preparation or translation of any
document or electronic record, frames, prepares or translates that document or electronic record] in a
manner which he knows or believes to be incorrect, intending thereby to cause or knowing it to be likely
that he may thereby cause injury to any person, "
168,Public servant unlawfully engaging in trade,"Whoever, being a public servant, and being
legally bound as such public servant not to engage in trade, engages in trade,"
169,Public servant unlawfully buying or bidding for property,"Whoever, being a public servant,
and being legally bound as such public servant, not to purchase or bid for certain property, purchases or
bids for that property, either in his own name or in the name of another, or jointly, or in shares with
others, .
"
170,Personating a public servant.,"Whoever pretends to hold any particular office as a public
servant, knowing that he does not hold such office or falsely personates any other person holding such
office, and in such assumed character does or attempts to do any act under colour of such office, "
171,Wearing garb or carrying token used by public servant with fraudulent intent.,"—Whoever,
not belonging to a certain class of public servants, wears any garb or carries any token resembling any
garb or token used by that class of public servants, with the intention that it may be believed, or with the
knowledge that it is likely to be believed, that he belongs to that class of public servants, "
172,Absconding to avoid service of summons or other proceeding,"Whoever absconds in order
to avoid being served with a summons, notice or order proceeding from any public servant legally
competent, as such public servant, to issue such summons, notice or order, "
173,"Preventing service of summons or other proceeding, or preventing publication thereof.","Whoever in any manner intentionally prevents the serving on himself, or on any other person, of any
summons, notice or order proceeding from any public servant legally competent, as such public servant,
to issue such summons, notice or order,
or intentionally prevents the lawful affixing to any place of any such summons, notice or order,
or intentionally removes any such summons, notice or order from any place to which it is lawfully
affixed,
or intentionally prevents the lawful making of any proclamation, under the authority of any public
servant legally competent, as such public servant, to direct such proclamation to be made,
shall be punished with simple imprisonment for a term which may extend to one month, or with fine
which may extend to five hundred rupees, or with both;
or, if the summons, notice, order or proclamation is to attend in person or by agent, or 2
[to produce a
document or electronic record in a Court of Justice] with simple imprisonment for a term which may
extend to six months, or with fine which may extend to one thousand rupees, or with both.
"
174,Non-attendance in obedience to an order from public servant,"Whoever, being legally
bound to attend in person or by an agent at a certain place and time in obedience to a summons, notice,
order, or proclamation proceeding from any public servant legally competent, as such public servant, to
issue the same,
intentionally omits to attend at that place or time, or departs from the place where he is bound to
attend before the time at which it is lawful for him to depart,
"
175, Omission to produce document to public servant by person legally bound to produce it.—,"Whoever, being legally bound to produce or deliver up any 
[document or electronic record] to any public
servant, as such, intentionally omits so to produce or deliver up the same, "
176,"Omission to give notice or information to public servant by person legally bound to give
it.—","—Whoever, being legally bound to give any notice or to furnish information on any subject to any
public servant, as such, intentionally omits to give such notice or to furnish such information in the
manner and at the time required by law, 
"
177,. Furnishing false information,"Whoever, being legally bound to furnish information on any
subject to any public servant, as such, furnishes, as true, information on the subject which he knows or
has reason to believe to be false "
178, Refusing oath or affirmation when duly required by public servant to make it,"—Whoever
refuses to bind himself by an oath 4
[or affirmation] to state the truth, when required so to bind himself by
a public servant legally competent to require that he shall so bind himself, "
179,Refusing to answer public servant authorised to question,"Whoever, being legally bound to
state the truth on any subject to any public servant, refuses to answer any question demanded of him
touching that subject by such public servant in the exercise of the legal powers of such public servant,
"
180,Refusing to sign statement.,"Whoever refuses to sign any statement made by him, when
required to sign that statement by a public servant legally competent to require that he shall sign that
statement, 
"
181,"False statement on oath or affirmation to public servant or person authorised to
administer an oath or affirmation","Whoever, being legally bound by an oath 4
[or affirmation] to state
the truth on any subject to any public servant or other person authorized by law to administer such oath

[or affirmation], makes, to such public servant or other person as aforesaid, touching that subject, any
statement which is false, and which he either knows or believes to be false or does not believe to be true,
"
182,"False information, with intent to cause public servant to use his lawful power to the
injury of another person.","Whoever gives to any public servant any information which he knows or
believes to be false, intending thereby to cause, or knowing it to be likely that he will thereby cause, such
public servant—
(a) to do or omit anything which such public servant ought not to do or omit if the true state of
facts respecting which such information is given were known by him, or
(b) to use the lawful power of such public servant to the injury or annoyance of any person,"
183,Resistance to the taking of property by the lawful authority of a public servant.—,"—Whoever
offers any resistance to the taking of any property by the lawful authority of any public servant, knowing
or having reason to believe that he is such public servant, "
184,Obstructing sale of property offered for sale by authority of public servant.—,"Whoever
intentionally obstructs any sale of property offered for sale by the lawful authority of any public servant,
as such, "
185, Illegal purchase or bid for property offered for sale by authority of public servant,"Whoever, at any sale of property held by the lawful authority of a public servant, as such, purchases or
bids for any property on account of any person, whether himself or any other, whom he knows to be
under a legal incapacity to purchase that property at that sale, or bids for such property not intending to
perform the obligations under which he lays himself by such bidding, "
186,Obstructing public servant in discharge of public functions,"Whoever voluntarily obstructs
any public servant in the discharge of his public functions, "
187,Omission to assist public servant when bound by law to give assistance,"Whoever, being
bound by law to render or furnish assistance to any public servant in the execution of his public duty,
intentionally omits to give such assistance,  or with both;
and if such assistance be demanded of him by a public servant legally competent to make such
demand for the purposes of executing any process lawfully issued by a Court of Justice, or of preventing
the commission of an offence, or suppressing a riot, or affray, or of apprehending a person charged with
or guilty of an offence, or of having escaped from lawful custody"
188,Disobedience to order duly promulgated by public servant,"Whoever, knowing that, by an
order promulgated by a public servant lawfully empowered to promulgate such order, he is directed to
abstain from a certain act, or to take certain order with certain property in his possession or under his
management, disobeys such direction, and if such disobedience causes or tends to cause danger to human life, health or safety, or causes or
tends to cause a riot or affray, "
189,Threat of injury to public servant.,"Whoever holds out any threat of injury to any public
servant, or to any person in whom he believes that public servant to be interested, for the purpose of
inducing that public servant to do any act, or to forbear or delay to do any act, connected with the exercise
of the public functions of such public servant, "
190,"Threat of injury to induce person to refrain from applying for protection to public
servant.—","Whoever holds out any threat of injury to any person for the purpose of inducing that person to
refrain or desist from making a legal application for protection against any injury to any public servant
legally empowered as such to give such protection, or to cause such protection to be given"
191,Giving false evidence,"Whoever, being legally bound by an oath or by an express provision of
law to state the truth, or being bound by law to make a declaration upon any subject, makes any statement
which is false, and which he either knows or believes to be false or does not believe to be true, is said to
give false evidence.
"
192,Fabricating false evidence,"—Whoever causes any circumstance to exist or 1
[makes any false
entry in any book or record, or electronic record or makes any document or electronic record containing a
false statement,] intending that such circumstance, false entry or false statement may appear in evidence in a judicial proceeding, or in a proceeding taken by law before a public servant as such, or before an
arbitrator, and that such circumstance, false entry or false statement, so appearing in evidence, may cause
any person who in such proceeding is to form an opinion upon the evidence, to entertain an erroneous
opinion touching any point material to the result of such proceeding is said “to fabricate false evidence”."
194,Giving or fabricating false evidence with intent to procure conviction of capital offence,"Whoever gives or fabricates false evidence, intending thereby to cause, or knowing it to be likely that he
will thereby cause, any person to be convicted of an offence which is capital 
[by the law for the time
being in force in 
"
195,"Giving or fabricating false evidence with intent to procure conviction of offence punishable
with imprisonment for life or imprisonment.—","Whoever gives or fabricates false evidence intending
thereby to cause, or knowing it to be likely that he will thereby cause, any person to be convicted of an
offence which 
[by the law for the time being in force in "
196,Using evidence known to be false,"Whoever corruptly uses or attempts to use as true or
genuine evidence any evidence which he knows to be false or fabricated, "
197,Issuing or signing false certificate,"—Whoever issues or signs any certificate required by law to
be given or signed, or relating to any fact of which such certificate is by law admissible in evidence,
knowing or believing that such certificate is false in any material point, shall be punished in the same
manner as if he gave false evidence"
198,Using as true a certificate known to be false.,"Whoever corruptly uses or attempts to use any
such certificate as a true certificate, knowing the same to be false in any material point, 
"
199,False statement made in declaration which is by law receivable as evidence.,"Whoever, in
any declaration made or subscribed by him, which declaration any Court of Justice, or any public servant
or other person, is bound or authorised by law to receive as evidence of any fact, makes any statement
which is false, and which he either knows or believes to be false or does not believe to be true, touching
any point material to the object for which the declaration is made or used, "
200,Using as true such declaration knowing it to be false,"Whoever corruptly uses or attempts to
use as true any such declaration, knowing the same to be false in any material point, "
201,"Causing disappearance of evidence of offence, or giving false information to screen
offender.—","—Whoever, knowing or having reason to believe that an offence has been committed, causes
any evidence of the commission of that offence to disappear, with the intention of screening the offender
from legal punishment, or with that intention gives any information respecting the offence which he
knows or believes to be false,
"
202,Intentional omission to give information of offence by person bound to inform,"—Whoever,
knowing or having reason to believe that an offence has been committed, intentionally omits to give any
information respecting that offence which he is legally bound to give, ."
203,Giving false information respecting an offence committed.—,"Whoever, knowing or having
reason to believe that an offence has been committed, gives any information respecting that offence which
he knows or believes to be false, "
204,Destruction of document to prevent its production as evidence,"Whoever secretes or
destroys any 3
[document and electronic record] which he may be lawfully compelled to produce as
evidence in a Court of Justice, or in any proceeding lawfully held before a public servant, as such, or
obliterates or renders illegible the whole or any part of such 3
[document or electronic record] with the
intention of preventing the same from being produced or used as evidence before such Court or public
servant as aforesaid, or after he shall have been lawfully summoned or required to produce the same for
that purpose, "
205,False personation for purpose of act or proceeding in suit or prosecution,"—Whoever falsely personates another, and in such assumed character makes any admission or statement, or confesses judgment, or causes any process to be issued or becomes bail or security, or does any other act in any suit or criminal prosecution, "
206,Fraudulent removal or concealment of property to prevent its seizure as forfeited or in execution,"—Whoever fraudulently removes, conceals, transfers or delivers to any person any property or
any interest therein, intending thereby to prevent that property or interest therein from being taken as a
forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to
be likely to be pronounced, by a Court of Justice or other competent authority, or from being taken in
execution of a decree or order which has been made, or which he knows to be likely to be made by a
Court of Justice in a civil suit, "
207,Fraudulent claim to property to prevent its seizure as forfeited or in execution.—,"Whoever
fraudulently accepts, receives or claims any property or any interest therein, knowing that he has no right
or rightful claim to such property or interest, or practices any deception touching any right to any property
or any interest therein, intending thereby to prevent that property or interest therein from being taken as a
forfeiture or in satisfaction of a fine, under a sentence which has been pronounced, or which he knows to
be likely to be pronounced by a Court of Justice or other competent authority, or from being taken in
execution of a decree or order which has been made, or which he knows to be likely to be made by a
Court of Justice in a civil suit,
"
208,Fraudulently suffering decree for sum not due,"Whoever fraudulently causes or suffers a
decree or order to be passed against him at the suit of any person for a sum not due or for a larger sum
than is due to such person or for any property or interest in property to which such person is not entitled,
or fraudulently causes or suffers a decree or order to be executed against him after it has been satisfied, or
for anything in respect of which it has been satisfied, "
209,Dishonesty making false claim in Court,"Whoever fraudulently or dishonestly, or with intent
to injure or annoy any person, makes in a Court of Justice any claim which he knows to be false, "
211,False charge of offence made with intent to injure,"Whoever, with intent to cause injury to
any person, institutes or causes to be instituted any criminal proceeding against that person, or falsely
charges any person with having committed an offence, knowing that there is no just or lawful ground for
such proceeding or charge against that person, "
212,Harbouring offender,"Whenever an offence has been committed, whoever harbours or conceals a person whom he knows or has reason to believe to be the offender, with the intention of screening him from legal punishment."
213,"Taking gift, etc., to screen an offender from punishment","Whoever accepts or attempts to
obtain, or agrees to accept, any gratification for himself or any other person, or any restitution of property
to himself or any other person, in consideration of his concealing an offence or of his screening any
person from legal punishment for any offence, or of his not proceeding against any person for the purpose
of bringing him to legal punishment,
"
214,Offering gift or restoration of property in consideration of screening offender,"Whoever
gives or causes, or offers or agrees to give or cause, any gratification to any person, or 2
[restores or causes
the restoration of] any property to any person, in consideration of that person's concealing an offence, or
of his screening any person from legal punishment for any offence, or of his not proceeding against any
person for the purpose of bringing him to legal punishment,
"
215,"Taking gift to help to recover stolen property, etc.—","Whoever takes or agrees or consents to take any gratification under pretence or on account of helping any person to recover any movable property of which he shall have been deprived by any offence punishable under this Code, shall, unless he uses all means in his power to cause the offender to be apprehended and convicted of the offence, "
216,Harbouring offender who has escaped from custody or whose apprehension has been ordered.,"—Whenever any person convicted of a charged with an offence, being in lawful custody for that
offence, escapes from such custody,or whenever a public servant, in the exercise of the lawful powers of such public servant, orders a
certain person to be apprehended for an offence, whoever, knowing of such escape or order for
apprehension, harbours or conceals that person with the intention of preventing him from being
apprehended, shall be punished in the manner following, that is to say,
if a capital offence.—if the offence for which the person was in custody or is ordered to be
apprehended is punishable with death, he shall be punished with imprisonment of either description for a
term which may extend to seven years, and shall also be liable to fine;
if punishable with imprisonment for life, or with imprisonment.—if the offence is punishable
with 1
[imprisonment for life] or imprisonment for ten years, he shall be punished with imprisonment of
either description for a term which may extend to three years, with or without fine;
and if the offence is punishable with imprisonment which may extend to one year and not to ten
years, he shall be punished with imprisonment of the description provided for the offence for a term
which may extend to one-fourth part of the longest term of the imprisonment provided for such offence,
or with fine, or with both.
2
[“Offence” in this section includes also any act or omission of which a person is alleged to have been
guilty out of 3
[India], which, if he had been guilty of it in 3
[India], would have been punishable as an
offence, and for which he is, under any law relating to extradition, 4
*** or otherwise, liable to be
apprehended or detained in custody in 3
[India], and every such act or omission shall, for the purposes of
this section, be deemed to be punishable as if the accused person had been guilty of it in 3
[India].]
"
217,". Public servant disobeying direction of law with intent to save person from punishment or
property from forfeiture.—","Whoever, being a public servant, knowingly disobeys any direction of the
law as to the way in which he is to conduct himself as such public servant, intending thereby to save, or
knowing it to be likely that he will thereby save, any person from legal punishment, or subject him to a
less punishment than that to which he is liable, or with intent to save, or knowing that he is likely thereby
to save, any property from forfeiture or any charge to which it is liable by law, ."
218,Public servant framing incorrect record or writing with intent to save person from punishment or property from forfeiture,"Whoever, being a public servant, and being as such public
servant, charged with the preparation of any record or other writing, frames that record or writing in a
manner which he knows to be incorrect, with intent to cause, or knowing it to be likely that he will
thereby cause, loss or injury to the public or to any person, or with intent thereby to save, or knowing it to
be likely that he will thereby save, any person from legal punishment, or with intent to save, or knowingthat he is likely thereby to save, any property from forfeiture or other charge to which it is liable by law,
"
219,"Public servant in judicial proceeding corruptly making report, etc., contrary to law","Whoever, being a public servant, corruptly or maliciously makes or pronounces in any stage of a judicial
proceeding, any report, order, verdict, or decision which he knows to be contrary to law, "
220,"Commitment for trial or confinement by person having authority who knows that he is
acting contrary to law.—","—Whoever, being in any office which gives him legal authority to commit
persons for trial or to confinement, or to keep persons in confinement, corruptly or maliciously commits
any person for trial or to confinement, or keeps any person in confinement, in the exercise of that
authority knowing that in so doing he is acting contrary to law, "
221,Intentional omission to apprehend on the part of public servant bound to apprehend,"Whoever, being a public servant, legally bound as such public servant to apprehend or to keep in
confinement any person charged with or liable to be apprehended for an offence, intentionally omits to
apprehend such person, or intentionally suffers such person to escape, or intentionally aids such person in
escaping or attempting to escape from such confinement, shall be punished."
222,"Intentional omission to apprehend on the part of public servant bound to apprehend
person under sentence or lawfully committed.—","Whoever, being a public servant, legally bound as
such public servant to apprehend or to keep in confinement any person under sentence of a Court of
Justice for any offence 2
[or lawfully committed to custody], intentionally omits to apprehend such person,
or intentionally suffers such person to escape or intentionally aids such person in escaping or attempting
to escape from such confinement, "
223,Escape from confinement or custody negligently suffered by public servant,"Whoever,
being a public servant legally bound as such public servant to keep in confinement any person charged
with or convicted of any offence 
[or lawfully committed to custody], negligently suffers such person to
escape from confinement, 
"
224,. Resistance or obstruction by a person to his lawful apprehension.—,"Whoever intentionally
offers any resistance or illegal obstruction to the lawful apprehension of himself for any offence with
which he is charged or of which he has been convicted, or escapes or attempts to escape from any custody
in which he is lawfully detained for any such offence, "
225,Resistance or obstruction to lawful apprehension of another person,"Whoever intentionally
offers any resistance or illegal obstruction to the lawful apprehension of any other person for an offence,
or rescues or attempts to rescue any other person from any custody in which that person is lawfully
detained for an offence, "
227,Violation of condition of remission of punishment,"Whoever, having accepted any
conditional remission of punishment, knowingly violates any condition on which such remission was
granted, 
"
228,. Intentional insult or interruption to public servant sitting in judicial proceeding.—,"Whoever intentionally offers any insult, or causes any interruption to any public servant, while such public servant is sitting in any stage of a judicial proceeding, "
